2025-08-24 07:18:16 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:18:16 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w03.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.17s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.24s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.25s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.20it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.02it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:13,  3.07s/it]Evaluation:   8%|▊         | 2/25 [00:05<01:05,  2.86s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:48,  2.19s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:48,  2.29s/it]Evaluation:  20%|██        | 5/25 [00:11<00:43,  2.20s/it]Evaluation:  24%|██▍       | 6/25 [00:18<01:11,  3.76s/it]Evaluation:  28%|██▊       | 7/25 [00:25<01:25,  4.75s/it]Evaluation:  32%|███▏      | 8/25 [00:34<01:47,  6.32s/it]Evaluation:  36%|███▌      | 9/25 [00:38<01:26,  5.41s/it]Evaluation:  40%|████      | 10/25 [00:44<01:23,  5.58s/it]Evaluation:  44%|████▍     | 11/25 [00:48<01:13,  5.25s/it]Evaluation:  48%|████▊     | 12/25 [00:52<01:02,  4.79s/it]Evaluation:  52%|█████▏    | 13/25 [00:58<01:01,  5.12s/it]Evaluation:  56%|█████▌    | 14/25 [01:08<01:12,  6.61s/it]Evaluation:  60%|██████    | 15/25 [01:11<00:54,  5.44s/it]Evaluation:  64%|██████▍   | 16/25 [01:14<00:42,  4.67s/it]Evaluation:  68%|██████▊   | 17/25 [01:17<00:33,  4.25s/it]Evaluation:  72%|███████▏  | 18/25 [01:19<00:24,  3.49s/it]Evaluation:  76%|███████▌  | 19/25 [01:22<00:20,  3.44s/it]Evaluation:  80%|████████  | 20/25 [01:23<00:14,  2.89s/it]Evaluation:  84%|████████▍ | 21/25 [01:29<00:14,  3.58s/it]Evaluation:  88%|████████▊ | 22/25 [01:34<00:12,  4.19s/it]Evaluation:  92%|█████████▏| 23/25 [01:40<00:09,  4.73s/it]Evaluation:  96%|█████████▌| 24/25 [01:46<00:05,  5.06s/it]Evaluation: 100%|██████████| 25/25 [01:59<00:00,  7.36s/it]Evaluation: 100%|██████████| 25/25 [01:59<00:00,  4.77s/it]
2025-08-24 07:20:29 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:20:29 INFO: - n_context: 5
2025-08-24 07:20:29 INFO: - context_type: documents
2025-08-24 07:20:29 INFO: - {'exact_match': 0.41, 'f1': 0.4825194805194804, 'precision': 0.5035000000000001, 'recall': 0.483, 'avg_num_tokens': 422.59}
2025-08-24 07:20:29 INFO: - ================================================================
1858 	 ['April 1858']
None of the provided contexts mention peace talks in Geneva with a country that approved the name of the planet that features the Small Dark 	 ['Chinese']
Over 1.7 million. 	 ['1.7 million']
Hotel and restaurant. 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
1898 	 ['August 12, 1898']
China 	 ['Dorgon']
Christians 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
North Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
The composer of Ganashatru, Satyajit Ray, is not mentioned in the text. The question is asking 	 ['Visva-Bharati University']
There is no mention of the XXX Corps invading an island in the given context. 	 ['1773']
The Achaemenid Dynasty. 	 ['Kurdish people']
St. John's. 	 ['eastern tip']
Asia 	 ['Central Asia']
There is no mention of the performer of "Walk on the Wild Side" in the given contexts. The contexts are about Lucky 	 ['Syracuse University', 'Cuse', 'SU']
Painter 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
The European Union. 	 ["Europe's most innovative country", 'Europe']
Alanders did not rejoin the country. 	 ['December 1917']
1909 	 ['1895']
Australia. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
23:00 	 ['24 hours a day']
Rhode Island Department of Transportation (RIDOT). 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from the state where Keedy House is located, which is Maryland. 	 ['Charles Carroll']
Pius XII. 	 ['Castel Gandolfo']
Thomas Stone 	 ['Charles Carroll']
Joseph Chiarello 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
The Lewis Range. 	 ['Rocky Mountains']
Voyager 1 and Voyager 2. 	 ['Voyager probes']
5th-6th centuries. 	 ['5th–6th centuries', '6th century', '6th-century']
Julius Caesar 	 ['March 44 BC']
Not mentioned in the provided context. The context only talks about the BBC Television Service, which used two 	 ['six months']
Ludacris 	 ['James McCartney']
406 	 ['808']
Renault 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
members of the Lok Sabha 	 ['Parliament of India']
Harvard University 	 ['Harvard']
A month-long affair. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Hemel Hempstead. 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale 	 ['165,521']
Arun Jaitley 	 ['Sudhir Mungantiwar']
Mattel. 	 ['Elliot Handler']
Bill Clinton 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Jiankang 	 ['Qiantang']
