2025-08-23 15:15:25 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-23 15:15:25 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w04.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.48s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:03<00:03,  1.62s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.44s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.04it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.16s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:45,  1.89s/it]Evaluation:   8%|▊         | 2/25 [00:02<00:31,  1.36s/it]Evaluation:  12%|█▏        | 3/25 [00:04<00:36,  1.67s/it]Evaluation:  16%|█▌        | 4/25 [00:07<00:39,  1.86s/it]Evaluation:  20%|██        | 5/25 [00:09<00:40,  2.00s/it]Evaluation:  24%|██▍       | 6/25 [00:11<00:38,  2.01s/it]Evaluation:  28%|██▊       | 7/25 [00:13<00:39,  2.20s/it]Evaluation:  32%|███▏      | 8/25 [00:16<00:37,  2.20s/it]Evaluation:  36%|███▌      | 9/25 [00:19<00:39,  2.47s/it]Evaluation:  40%|████      | 10/25 [00:21<00:37,  2.53s/it]Evaluation:  44%|████▍     | 11/25 [00:23<00:31,  2.24s/it]Evaluation:  48%|████▊     | 12/25 [00:25<00:28,  2.18s/it]Evaluation:  52%|█████▏    | 13/25 [00:28<00:27,  2.32s/it]Evaluation:  56%|█████▌    | 14/25 [00:30<00:24,  2.24s/it]Evaluation:  60%|██████    | 15/25 [00:32<00:23,  2.33s/it]Evaluation:  64%|██████▍   | 16/25 [00:34<00:20,  2.24s/it]Evaluation:  68%|██████▊   | 17/25 [00:37<00:18,  2.27s/it]Evaluation:  72%|███████▏  | 18/25 [00:39<00:15,  2.22s/it]Evaluation:  76%|███████▌  | 19/25 [00:41<00:13,  2.30s/it]Evaluation:  80%|████████  | 20/25 [00:43<00:11,  2.28s/it]Evaluation:  84%|████████▍ | 21/25 [00:45<00:08,  2.17s/it]Evaluation:  88%|████████▊ | 22/25 [00:47<00:06,  2.12s/it]Evaluation:  92%|█████████▏| 23/25 [00:49<00:04,  2.08s/it]Evaluation:  96%|█████████▌| 24/25 [00:53<00:02,  2.61s/it]Evaluation: 100%|██████████| 25/25 [00:55<00:00,  2.47s/it]Evaluation: 100%|██████████| 25/25 [00:55<00:00,  2.23s/it]
2025-08-23 15:16:36 INFO: - ====================== Evaluation Results ======================
2025-08-23 15:16:36 INFO: - n_context: 5
2025-08-23 15:16:36 INFO: - context_type: triples
2025-08-23 15:16:36 INFO: - {'exact_match': 0.7, 'f1': 0.7740952380952382, 'precision': 0.7725952380952381, 'recall': 0.8016666666666665, 'avg_num_tokens': 157.14}
2025-08-23 15:16:36 INFO: - ================================================================
February 26, 2009 	 ['NBC']
Plant genus. 	 ['genus']
Kirk Fogg. 	 ['Jeff Sutphen']
The Forest of Bowland. 	 ['the Bowland Fells']
2003 	 ['20 March to 1 May 2003']
A genus of flowering plant. 	 ['plant']
1852 	 ['1904']
runner-up in the Bundesliga to SV Werder Bremen 	 ['runner-up']
Westwood Jr. High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Palm Springs Power 	 ['Texas Rangers']
Baltic, Germanic, and Thracian tribes. 	 ['Germanic, Baltic and Thracian tribes']
4 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
72-78 passengers 	 ['72-78']
Crown Princess Masako of Japan 	 ['Aiko, Princess Toshi']
Lawrence Technological University 	 ['University of North Texas']
Humber Refinery. 	 ['the A160']
Capsicum chinense and Capsicum annuum. 	 ['"Capsicum chinense"']
Rammstein 	 ['Herzeleid']
3D animation 	 ['animation']
1966 	 ['1939']
1979 	 ['The London Connection']
American 	 ['Mexican']
Angela Nissel 	 ['Angela R. Nissel']
LyondellBasell 	 ['Netherlands']
Theo van Gogh (art dealer) 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi collaborated with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
Jang Yoon Jeong, Super Junior-T, Daesung, Joy, Hong Jin-young. 	 ['actress']
Yes. 	 ['no']
