2025-08-24 07:22:26 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:22:26 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w05.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.01s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.18s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.22s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.22it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.06it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:10,  2.93s/it]Evaluation:   8%|▊         | 2/25 [00:06<01:09,  3.03s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:49,  2.26s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:48,  2.32s/it]Evaluation:  20%|██        | 5/25 [00:11<00:41,  2.08s/it]Evaluation:  24%|██▍       | 6/25 [00:15<00:53,  2.84s/it]Evaluation:  28%|██▊       | 7/25 [00:18<00:52,  2.91s/it]Evaluation:  32%|███▏      | 8/25 [00:22<00:53,  3.14s/it]Evaluation:  36%|███▌      | 9/25 [00:23<00:40,  2.56s/it]Evaluation:  40%|████      | 10/25 [00:26<00:39,  2.61s/it]Evaluation:  44%|████▍     | 11/25 [00:28<00:33,  2.37s/it]Evaluation:  48%|████▊     | 12/25 [00:30<00:30,  2.35s/it]Evaluation:  52%|█████▏    | 13/25 [00:33<00:29,  2.48s/it]Evaluation:  56%|█████▌    | 14/25 [00:37<00:34,  3.09s/it]Evaluation:  60%|██████    | 15/25 [00:40<00:29,  2.95s/it]Evaluation:  64%|██████▍   | 16/25 [00:43<00:28,  3.12s/it]Evaluation:  68%|██████▊   | 17/25 [00:47<00:25,  3.16s/it]Evaluation:  72%|███████▏  | 18/25 [00:49<00:20,  2.91s/it]Evaluation:  76%|███████▌  | 19/25 [00:52<00:18,  3.02s/it]Evaluation:  80%|████████  | 20/25 [00:54<00:13,  2.62s/it]Evaluation:  84%|████████▍ | 21/25 [00:56<00:09,  2.43s/it]Evaluation:  88%|████████▊ | 22/25 [00:59<00:07,  2.48s/it]Evaluation:  92%|█████████▏| 23/25 [01:01<00:05,  2.58s/it]Evaluation:  96%|█████████▌| 24/25 [01:05<00:02,  2.76s/it]Evaluation: 100%|██████████| 25/25 [01:09<00:00,  3.35s/it]Evaluation: 100%|██████████| 25/25 [01:09<00:00,  2.79s/it]
2025-08-24 07:23:47 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:23:47 INFO: - n_context: 5
2025-08-24 07:23:47 INFO: - context_type: documents
2025-08-24 07:23:47 INFO: - {'exact_match': 0.42, 'f1': 0.4731575091575091, 'precision': 0.5024090909090908, 'recall': 0.4703333333333333, 'avg_num_tokens': 428.38}
2025-08-24 07:23:47 INFO: - ================================================================
1858 	 ['April 1858']
No one. 	 ['Chinese']
According to the context, the Mississippi River begins in Lake Itasca in northern Minnesota. According to the first context, Minnesota's 	 ['1.7 million']
The hotel and restaurant. 	 ['hotels', 'Hotel', 'hotel']
Nebraska. 	 ['University of Nebraska']
3 	 ['three']
1898 	 ['August 12, 1898']
China 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
North Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
The composer of Ganashatru, Satyajit Ray, is not mentioned in the provided texts. 	 ['Visva-Bharati University']
There is no mention of the XXX Corps invading an island in the given context. 	 ['1773']
The Achaemenid Dynasty. 	 ['Kurdish people']
St. John's. 	 ['eastern tip']
Europe 	 ['Central Asia']
There is no mention of the performer of "Walk on the Wild Side" in the given contexts. The contexts are about Lucky 	 ['Syracuse University', 'Cuse', 'SU']
Painter 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
The European Union. 	 ["Europe's most innovative country", 'Europe']
Alanders did not rejoin the country. 	 ['December 1917']
Kenya 	 ['1895']
Australia. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
23:00 	 ['24 hours a day']
Rhode Island. 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from Washington County, Maryland, where the Keedy House is located. 	 ['Charles Carroll']
Pius XII. 	 ['Castel Gandolfo']
Maryland 	 ['Charles Carroll']
Joseph Chiarello 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
The Lewis Range. 	 ['Rocky Mountains']
The Voyager 1 and Voyager 2 spacecraft used the gravitational pull of Jupiter. 	 ['Voyager probes']
Not mentioned in the provided context. 	 ['5th–6th centuries', '6th century', '6th-century']
Julius Caesar 	 ['March 44 BC']
Not mentioned in the provided context. The context only talks about the BBC Television Service, which used two 	 ['six months']
Hawaii 	 ['808']
Renault 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
members of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
A month-long affair. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Hertfordshire, United Kingdom 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale 	 ['165,521']
Mattel. 	 ['Elliot Handler']
President. 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Jiankang 	 ['Qiantang']
