2025-08-24 07:16:04 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:16:04 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w02.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.14s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.20s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.22s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.22it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.04it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:06<02:27,  6.14s/it]Evaluation:   8%|▊         | 2/25 [00:09<01:39,  4.33s/it]Evaluation:  12%|█▏        | 3/25 [00:10<01:05,  2.97s/it]Evaluation:  16%|█▌        | 4/25 [00:13<00:58,  2.77s/it]Evaluation:  20%|██        | 5/25 [00:14<00:44,  2.25s/it]Evaluation:  24%|██▍       | 6/25 [00:18<00:55,  2.91s/it]Evaluation:  28%|██▊       | 7/25 [00:29<01:40,  5.58s/it]Evaluation:  32%|███▏      | 8/25 [00:39<01:57,  6.91s/it]Evaluation:  36%|███▌      | 9/25 [00:42<01:30,  5.63s/it]Evaluation:  40%|████      | 10/25 [00:48<01:25,  5.72s/it]Evaluation:  44%|████▍     | 11/25 [00:52<01:15,  5.37s/it]Evaluation:  48%|████▊     | 12/25 [00:59<01:16,  5.89s/it]Evaluation:  52%|█████▏    | 13/25 [01:05<01:11,  5.95s/it]Evaluation:  56%|█████▌    | 14/25 [01:13<01:12,  6.58s/it]Evaluation:  60%|██████    | 15/25 [01:16<00:55,  5.53s/it]Evaluation:  64%|██████▍   | 16/25 [01:20<00:44,  4.93s/it]Evaluation:  68%|██████▊   | 17/25 [01:22<00:32,  4.05s/it]Evaluation:  72%|███████▏  | 18/25 [01:24<00:24,  3.47s/it]Evaluation:  76%|███████▌  | 19/25 [01:27<00:19,  3.21s/it]Evaluation:  80%|████████  | 20/25 [01:28<00:13,  2.65s/it]Evaluation:  84%|████████▍ | 21/25 [01:31<00:10,  2.69s/it]Evaluation:  88%|████████▊ | 22/25 [01:36<00:09,  3.29s/it]Evaluation:  92%|█████████▏| 23/25 [01:43<00:09,  4.64s/it]Evaluation:  96%|█████████▌| 24/25 [01:50<00:05,  5.37s/it]Evaluation: 100%|██████████| 25/25 [01:57<00:00,  5.83s/it]Evaluation: 100%|██████████| 25/25 [01:57<00:00,  4.71s/it]
2025-08-24 07:18:15 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:18:15 INFO: - n_context: 5
2025-08-24 07:18:15 INFO: - context_type: documents
2025-08-24 07:18:15 INFO: - {'exact_match': 0.44, 'f1': 0.49664235764235765, 'precision': 0.5240757575757575, 'recall': 0.49400000000000005, 'avg_num_tokens': 421.4}
2025-08-24 07:18:15 INFO: - ================================================================
1858 	 ['April 1858']
None of the provided contexts mention peace talks in Geneva with a country that approved the name of the planet that features the Small Dark 	 ['Chinese']
According to the context, the Mississippi River begins in Lake Itasca in northern Minnesota. According to the first context, Minnesota's 	 ['1.7 million']
Hotel and restaurant. 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
1898 	 ['August 12, 1898']
China 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
Berklee College of Music 	 ['Syracuse University', 'Cuse', 'SU']
South Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
The composer of Ganashatru is not mentioned in the given contexts. Ganashatru is a film directed by Sat 	 ['Visva-Bharati University']
There is no mention of the XXX Corps invading an island in the given context. 	 ['1773']
St. John's. 	 ['eastern tip']
Asia 	 ['Central Asia']
There is no mention of the performer of "Walk on the Wild Side" in the given contexts. The contexts are about Lucky 	 ['Syracuse University', 'Cuse', 'SU']
Painter 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
The European Union. 	 ["Europe's most innovative country", 'Europe']
There is no mention of Alanders rejoining the country in the given contexts. 	 ['December 1917']
Not applicable, as the question is unclear and does not specify the president's father. 	 ['1895']
The flag of Australia has one star. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
23:00 	 ['24 hours a day']
Rhode Island. 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from the state where Keedy House is located, which is Maryland. 	 ['Charles Carroll']
Rome 	 ['Castel Gandolfo']
Thomas Stone 	 ['Charles Carroll']
Widower. 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
The Voyager 1 and Voyager 2 spacecraft used the gravitational pull of Jupiter. 	 ['Voyager probes']
1310-14 	 ['5th–6th centuries', '6th century', '6th-century']
Julius Caesar 	 ['March 44 BC']
Renault 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
members of the Lok Sabha 	 ['Parliament of India']
Harvard University 	 ['Harvard']
A month-long affair. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Hemel Hempstead, United Kingdom 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale 	 ['165,521']
Arun Jaitley 	 ['Sudhir Mungantiwar']
Mattel. 	 ['Elliot Handler']
Bill Clinton 	 ['Arkansas Attorney General']
unknown. 	 ['Marcia']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Bianjing 	 ['Qiantang']
