2025-08-24 07:26:25 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:26:25 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w08.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.19s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.26s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.21s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.23it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.04it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:21,  3.42s/it]Evaluation:   8%|▊         | 2/25 [00:06<01:13,  3.20s/it]Evaluation:  12%|█▏        | 3/25 [00:08<00:55,  2.53s/it]Evaluation:  16%|█▌        | 4/25 [00:10<00:52,  2.49s/it]Evaluation:  20%|██        | 5/25 [00:12<00:42,  2.14s/it]Evaluation:  24%|██▍       | 6/25 [00:15<00:48,  2.57s/it]Evaluation:  28%|██▊       | 7/25 [00:18<00:49,  2.75s/it]Evaluation:  32%|███▏      | 8/25 [00:22<00:53,  3.12s/it]Evaluation:  36%|███▌      | 9/25 [00:24<00:42,  2.64s/it]Evaluation:  40%|████      | 10/25 [00:26<00:38,  2.55s/it]Evaluation:  44%|████▍     | 11/25 [00:28<00:31,  2.23s/it]Evaluation:  48%|████▊     | 12/25 [00:30<00:30,  2.32s/it]Evaluation:  52%|█████▏    | 13/25 [00:32<00:28,  2.35s/it]Evaluation:  56%|█████▌    | 14/25 [00:36<00:28,  2.58s/it]Evaluation:  60%|██████    | 15/25 [00:37<00:23,  2.33s/it]Evaluation:  64%|██████▍   | 16/25 [00:41<00:25,  2.87s/it]Evaluation:  68%|██████▊   | 17/25 [00:44<00:21,  2.65s/it]Evaluation:  72%|███████▏  | 18/25 [00:46<00:17,  2.56s/it]Evaluation:  76%|███████▌  | 19/25 [00:49<00:16,  2.78s/it]Evaluation:  80%|████████  | 20/25 [00:51<00:11,  2.34s/it]Evaluation:  84%|████████▍ | 21/25 [00:54<00:10,  2.63s/it]Evaluation:  88%|████████▊ | 22/25 [00:56<00:07,  2.62s/it]Evaluation:  92%|█████████▏| 23/25 [01:00<00:05,  2.98s/it]Evaluation:  96%|█████████▌| 24/25 [01:04<00:03,  3.06s/it]Evaluation: 100%|██████████| 25/25 [01:08<00:00,  3.57s/it]Evaluation: 100%|██████████| 25/25 [01:08<00:00,  2.75s/it]
2025-08-24 07:27:47 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:27:47 INFO: - n_context: 5
2025-08-24 07:27:47 INFO: - context_type: documents
2025-08-24 07:27:47 INFO: - {'exact_match': 0.44, 'f1': 0.48482417582417575, 'precision': 0.5138376623376623, 'recall': 0.48233333333333334, 'avg_num_tokens': 419.39}
2025-08-24 07:27:47 INFO: - ================================================================
1858 	 ['April 1858']
Yerevan 	 ['Kapan']
None of the provided texts mention peace talks in Geneva with a country that approved the name of the planet that features the Small Dark 	 ['Chinese']
According to the context, the Mississippi River begins in Lake Itasca in northern Minnesota. According to the first context, Minnesota's 	 ['1.7 million']
Hotel and restaurant. 	 ['hotels', 'Hotel', 'hotel']
Nebraska. 	 ['University of Nebraska']
3 	 ['three']
1898 	 ['August 12, 1898']
China 	 ['Dorgon']
Christians 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
North Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
There is no composer mentioned in the context about Ganashatru. Ganashatru is a film directed by Saty 	 ['Visva-Bharati University']
There is no mention of the XXX Corps invading an island in the given context. 	 ['1773']
The Persian Empire. 	 ['Kurdish people']
St. John's. 	 ['eastern tip']
Asia 	 ['Central Asia']
There is no mention of the performer of "Walk on the Wild Side" in the given contexts. The contexts are about Lucky 	 ['Syracuse University', 'Cuse', 'SU']
Painter 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
Not mentioned in the provided context. 	 ['1960']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
The European Union. 	 ["Europe's most innovative country", 'Europe']
1945 	 ['December 1917']
Kenya 	 ['1895']
The flag of the United States has 50 stars. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
not applicable. 	 ['1909']
23:00 	 ['24 hours a day']
Rhode Island. 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from the state where Keedy House is located, which is Maryland. 	 ['Charles Carroll']
Rome 	 ['Castel Gandolfo']
Samuel Chase 	 ['Charles Carroll']
Joseph Chiarello 	 ['Catherine Zeta-Jones']
The Lewis Range. 	 ['Rocky Mountains']
The Voyager 1 and Voyager 2 spacecraft used the gravitational pull of Jupiter. 	 ['Voyager probes']
Julius Caesar. 	 ['March 44 BC']
TAG Heuer 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
members of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
A month-long affair. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
The United Kingdom 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale 	 ['165,521']
Mattel. 	 ['Elliot Handler']
Bill Clinton 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Jiankang 	 ['Qiantang']
