2025-08-24 07:19:42 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:19:42 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w08.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.17s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.26s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.27s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.17it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.00it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:01,  2.54s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:48,  2.10s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:45,  2.08s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:46,  2.21s/it]Evaluation:  20%|██        | 5/25 [00:10<00:43,  2.17s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:41,  2.17s/it]Evaluation:  28%|██▊       | 7/25 [00:15<00:39,  2.20s/it]Evaluation:  32%|███▏      | 8/25 [00:17<00:39,  2.31s/it]Evaluation:  36%|███▌      | 9/25 [00:19<00:35,  2.19s/it]Evaluation:  40%|████      | 10/25 [00:22<00:34,  2.28s/it]Evaluation:  44%|████▍     | 11/25 [00:24<00:31,  2.22s/it]Evaluation:  48%|████▊     | 12/25 [00:26<00:30,  2.32s/it]Evaluation:  52%|█████▏    | 13/25 [00:28<00:26,  2.18s/it]Evaluation:  56%|█████▌    | 14/25 [00:32<00:30,  2.79s/it]Evaluation:  60%|██████    | 15/25 [00:34<00:24,  2.40s/it]Evaluation:  64%|██████▍   | 16/25 [00:35<00:17,  1.98s/it]Evaluation:  68%|██████▊   | 17/25 [00:36<00:13,  1.66s/it]Evaluation:  72%|███████▏  | 18/25 [00:37<00:11,  1.58s/it]Evaluation:  76%|███████▌  | 19/25 [00:39<00:10,  1.68s/it]Evaluation:  80%|████████  | 20/25 [00:40<00:07,  1.47s/it]Evaluation:  84%|████████▍ | 21/25 [00:42<00:05,  1.43s/it]Evaluation:  88%|████████▊ | 22/25 [00:42<00:03,  1.27s/it]Evaluation:  92%|█████████▏| 23/25 [00:43<00:02,  1.18s/it]Evaluation:  96%|█████████▌| 24/25 [00:44<00:01,  1.11s/it]Evaluation: 100%|██████████| 25/25 [00:46<00:00,  1.13s/it]Evaluation: 100%|██████████| 25/25 [00:46<00:00,  1.84s/it]
2025-08-24 07:20:41 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:20:41 INFO: - n_context: 5
2025-08-24 07:20:41 INFO: - context_type: triples
2025-08-24 07:20:41 INFO: - {'exact_match': 0.44, 'f1': 0.49031262939958586, 'precision': 0.5026051693404634, 'recall': 0.5011666666666668, 'avg_num_tokens': 159.42}
2025-08-24 07:20:41 INFO: - ================================================================
1861 	 ['April 1858']
Yerevan 	 ['Kapan']
France 	 ['Chinese']
hotel and restaurant 	 ['hotels', 'Hotel', 'hotel']
Nebraska 	 ['University of Nebraska']
3 	 ['three']
Beijing 	 ['Dorgon']
Christians 	 ['a red cross on a white field', 'Red Cross']
North Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
None of the above. 	 ['Visva-Bharati University']
Sicily 	 ['1773']
The Persian Empire. 	 ['Kurdish people']
Peter Grant and Swan Song Records. 	 ['Peter Grant']
Asia 	 ['Central Asia']
Michelangelo. 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Karstadt 	 ['KaDeWe']
Laughery Creek 	 ['Ohio River']
1895 	 ['1963']
by a considerable margin 	 ["Europe's most innovative country", 'Europe']
August 30, 1980 	 ['December 1917']
1909 	 ['1895']
Australia 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
former Roman temple 	 ['temple, now a church', 'Temple', 'temple']
4 	 ['1909']
24 hours 	 ['24 hours a day']
Rhode Island 	 ['Rhode Island Department of Transportation', 'RIDOT']
No one. 	 ['Charles Carroll']
August 1978 	 ['Castel Gandolfo']
None, Elk Landing is located in Cecil County, Maryland, but there were no signers from Maryland at the signing of the 	 ['Charles Carroll']
Joseph Chiarello 	 ['Catherine Zeta-Jones']
tsampa 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
Voyager 2 	 ['Voyager probes']
Julius Caesar 	 ['March 44 BC']
13 February 1937 	 ['six months']
TAG Heuer - branded Renault 	 ['Louis Renault']
MES-1 	 ['WGL-4 with 652 characters']
The Speaker of the Lok Sabha is elected by the members of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
The Chicago Cubs' reason for poor late-season play is pointed to as the unusually high number of day games. 	 ['unusually high number of day games', 'd', 'day', 'Day', 'days']
month-long 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Veterans Stadium 	 ['Lincoln Financial Field']
Rafina 	 ['Amna Ilyas']
United Kingdom 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale, Florida 	 ['165,521']
Bill Clinton 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
The Near East. 	 ['"the East Indies"', 'East Indies']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island. 	 ['Seth Magaziner']
Nanjing 	 ['Qiantang']
