2025-08-24 07:20:43 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:20:43 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w09.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.12s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.20s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.20s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.24it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.06it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<00:55,  2.32s/it]Evaluation:   8%|▊         | 2/25 [00:03<00:44,  1.94s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:45,  2.07s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:42,  2.03s/it]Evaluation:  20%|██        | 5/25 [00:10<00:40,  2.05s/it]Evaluation:  24%|██▍       | 6/25 [00:12<00:40,  2.14s/it]Evaluation:  28%|██▊       | 7/25 [00:14<00:38,  2.16s/it]Evaluation:  32%|███▏      | 8/25 [00:16<00:35,  2.10s/it]Evaluation:  36%|███▌      | 9/25 [00:18<00:32,  2.06s/it]Evaluation:  40%|████      | 10/25 [00:20<00:30,  2.03s/it]Evaluation:  44%|████▍     | 11/25 [00:22<00:28,  2.00s/it]Evaluation:  48%|████▊     | 12/25 [00:24<00:24,  1.85s/it]Evaluation:  52%|█████▏    | 13/25 [00:26<00:23,  1.93s/it]Evaluation:  56%|█████▌    | 14/25 [00:29<00:27,  2.46s/it]Evaluation:  60%|██████    | 15/25 [00:31<00:22,  2.28s/it]Evaluation:  64%|██████▍   | 16/25 [00:34<00:20,  2.26s/it]Evaluation:  68%|██████▊   | 17/25 [00:35<00:17,  2.16s/it]Evaluation:  72%|███████▏  | 18/25 [00:37<00:14,  2.11s/it]Evaluation:  76%|███████▌  | 19/25 [00:41<00:15,  2.51s/it]Evaluation:  80%|████████  | 20/25 [00:43<00:11,  2.31s/it]Evaluation:  84%|████████▍ | 21/25 [00:45<00:09,  2.40s/it]Evaluation:  88%|████████▊ | 22/25 [00:47<00:06,  2.05s/it]Evaluation:  92%|█████████▏| 23/25 [00:48<00:03,  1.90s/it]Evaluation:  96%|█████████▌| 24/25 [00:50<00:01,  1.92s/it]Evaluation: 100%|██████████| 25/25 [00:53<00:00,  2.09s/it]Evaluation: 100%|██████████| 25/25 [00:53<00:00,  2.12s/it]
2025-08-24 07:21:48 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:21:48 INFO: - n_context: 5
2025-08-24 07:21:48 INFO: - context_type: triples
2025-08-24 07:21:48 INFO: - {'exact_match': 0.34, 'f1': 0.37876190476190474, 'precision': 0.3928690476190477, 'recall': 0.38716666666666666, 'avg_num_tokens': 140.41}
2025-08-24 07:21:48 INFO: - ================================================================
1861 	 ['April 1858']
Yerevan 	 ['Kapan']
Russian Delegation 	 ['Chinese']
hotel and restaurant 	 ['hotels', 'Hotel', 'hotel']
Ecclesiastical Province of Canada 	 ['Anglican Church of Canada']
6 	 ['three']
Beijing 	 ['Dorgon']
Christians 	 ['a red cross on a white field', 'Red Cross']
Princeton University 	 ['Syracuse University', 'Cuse', 'SU']
1945 	 ['1842']
German Wehrmacht 	 ['KPA']
Ireland 	 ['Norway', 'NO', 'NOR', 'no']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
Indiana University and the New England Conservatory of Music. 	 ['Visva-Bharati University']
Sicily. 	 ['1773']
The Persian Empire. 	 ['Kurdish people']
Peter Grant and Swan Song Records. 	 ['Peter Grant']
Asia 	 ['Central Asia']
Michelangelo 	 ['Italian painter']
Jim McCartney 	 ['Alfred Lennon']
Mendelssohn & Co. 	 ['KaDeWe']
Laughery Creek 	 ['Ohio River']
1950 	 ['1963']
by a considerable margin 	 ["Europe's most innovative country", 'Europe']
$100,000 	 ['$122,160']
1945 	 ['December 1917']
1842 	 ['1895']
July 1960 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
24 hours 	 ['24 hours a day']
Federal Highway Administration (FHWA) 	 ['Rhode Island Department of Transportation', 'RIDOT']
No one signed the Declaration of Independence from the state where Keedy House is located, because Keedy House is located in Maryland 	 ['Charles Carroll']
Castel Gandolfo, near Rome 	 ['Castel Gandolfo']
Shirley Temple 	 ['Catherine Zeta-Jones']
tsampa 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
Voyager 2 	 ['Voyager probes']
The Voice 	 ['American Idol']
December 1, 44 AD 	 ['March 44 BC']
Menlo Park 	 ['Harper Simon']
13 February 1937 	 ['six months']
Ferdinand Porsche 	 ['Louis Renault']
MES-2 	 ['WGL-4 with 652 characters']
Members of the Lok Sabha. 	 ['Parliament of India']
Stanford University. 	 ['Harvard']
1. Chicago Cubs reason for poor late-season play unusually high number of day games. 	 ['unusually high number of day games', 'd', 'day', 'Day', 'days']
An entire year. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Charlottesville, Virginia 	 ['Lincoln Financial Field']
José Feliciano 	 ['Aldemaro Romero']
Penelope Cruz 	 ['Amna Ilyas']
United Kingdom 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
171,016 	 ['165,521']
Mattel 	 ['Elliot Handler']
Governor 	 ['Arkansas Attorney General']
Def Jam Recordings 	 ['RCA Records', 'RCA']
Yerevan 	 ['Kapan']
Trajan 	 ['Marcia']
The Near East. 	 ['"the East Indies"', 'East Indies']
1775 	 ['1824']
Nintendo 	 ['first-party games']
Canada 	 ['United States', 'US of A', 'U.S.', 'US', 'U.S']
Nathan Green, Rhode Island 	 ['Seth Magaziner']
Lin'an 	 ['Qiantang']
