2025-08-24 07:13:53 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:13:53 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w01.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.15s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.23s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.23s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.22it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.04it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:06<02:27,  6.15s/it]Evaluation:   8%|▊         | 2/25 [00:08<01:33,  4.05s/it]Evaluation:  12%|█▏        | 3/25 [00:10<01:05,  3.00s/it]Evaluation:  16%|█▌        | 4/25 [00:12<00:51,  2.47s/it]Evaluation:  20%|██        | 5/25 [00:13<00:43,  2.19s/it]Evaluation:  24%|██▍       | 6/25 [00:18<00:54,  2.87s/it]Evaluation:  28%|██▊       | 7/25 [00:21<00:55,  3.08s/it]Evaluation:  32%|███▏      | 8/25 [00:29<01:16,  4.53s/it]Evaluation:  36%|███▌      | 9/25 [00:32<01:04,  4.03s/it]Evaluation:  40%|████      | 10/25 [00:39<01:15,  5.03s/it]Evaluation:  44%|████▍     | 11/25 [00:44<01:09,  4.93s/it]Evaluation:  48%|████▊     | 12/25 [00:48<01:02,  4.83s/it]Evaluation:  52%|█████▏    | 13/25 [00:55<01:04,  5.40s/it]Evaluation:  56%|█████▌    | 14/25 [01:05<01:13,  6.69s/it]Evaluation:  60%|██████    | 15/25 [01:08<00:57,  5.80s/it]Evaluation:  64%|██████▍   | 16/25 [01:16<00:57,  6.38s/it]Evaluation:  68%|██████▊   | 17/25 [01:20<00:46,  5.79s/it]Evaluation:  72%|███████▏  | 18/25 [01:23<00:33,  4.74s/it]Evaluation:  76%|███████▌  | 19/25 [01:26<00:25,  4.30s/it]Evaluation:  80%|████████  | 20/25 [01:27<00:17,  3.41s/it]Evaluation:  84%|████████▍ | 21/25 [01:30<00:12,  3.20s/it]Evaluation:  88%|████████▊ | 22/25 [01:33<00:09,  3.14s/it]Evaluation:  92%|█████████▏| 23/25 [01:38<00:07,  3.84s/it]Evaluation:  96%|█████████▌| 24/25 [01:45<00:04,  4.77s/it]Evaluation: 100%|██████████| 25/25 [01:56<00:00,  6.43s/it]Evaluation: 100%|██████████| 25/25 [01:56<00:00,  4.65s/it]
2025-08-24 07:16:02 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:16:02 INFO: - n_context: 5
2025-08-24 07:16:02 INFO: - context_type: documents
2025-08-24 07:16:02 INFO: - {'exact_match': 0.48, 'f1': 0.5362960372960373, 'precision': 0.5543535353535354, 'recall': 0.54, 'avg_num_tokens': 423.83}
2025-08-24 07:16:02 INFO: - ================================================================
1858 	 ['April 1858']
None of the provided contexts mention peace talks in Geneva with a country that approved the name of the planet that features the Small Dark 	 ['Chinese']
Hotel and restaurant. 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
1898 	 ['August 12, 1898']
Beijing 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
North Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
The composer of Ganashatru, Satyajit Ray, is not mentioned in the text. The question is asking 	 ['Visva-Bharati University']
There is no mention of the XXX Corps invading an island in the given context. 	 ['1773']
St. John's. 	 ['eastern tip']
Asia 	 ['Central Asia']
Royal College Colombo. 	 ['Syracuse University', 'Cuse', 'SU']
Italian High Renaissance master. 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
The European Union. 	 ["Europe's most innovative country", 'Europe']
There is no mention of Alanders rejoining the country in the given contexts. 	 ['December 1917']
Kenya 	 ['1895']
The flag of the United States has 50 stars, not one. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
11:00 until 23:00 	 ['24 hours a day']
Rhode Island Department of Transportation (RIDOT). 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from the state where Keedy House is located, which is Maryland. 	 ['Charles Carroll']
Monte Porzio Catone 	 ['Castel Gandolfo']
Thomas Stone 	 ['Charles Carroll']
Widower. 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
The Lewis Range. 	 ['Rocky Mountains']
The Voyager 1 and Voyager 2 spacecraft used the gravitational pull of Jupiter. 	 ['Voyager probes']
1876 	 ['5th–6th centuries', '6th century', '6th-century']
Julius Caesar 	 ['March 44 BC']
Renault 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
members of the Lok Sabha 	 ['Parliament of India']
Harvard University 	 ['Harvard']
A month-long affair. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Hertfordshire, United Kingdom 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
St. Petersburg 	 ['165,521']
Mattel. 	 ['Elliot Handler']
Andrew Johnson 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
Nintendo 	 ['first-party games']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Hangzhou 	 ['Qiantang']
