2025-08-24 07:23:49 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:23:49 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w06.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.14s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.23s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.20s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.25it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.05it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:12,  3.00s/it]Evaluation:   8%|▊         | 2/25 [00:06<01:09,  3.02s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:49,  2.26s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:48,  2.32s/it]Evaluation:  20%|██        | 5/25 [00:11<00:40,  2.04s/it]Evaluation:  24%|██▍       | 6/25 [00:14<00:43,  2.27s/it]Evaluation:  28%|██▊       | 7/25 [00:18<00:53,  2.95s/it]Evaluation:  32%|███▏      | 8/25 [00:21<00:50,  2.97s/it]Evaluation:  36%|███▌      | 9/25 [00:22<00:39,  2.50s/it]Evaluation:  40%|████      | 10/25 [00:25<00:36,  2.45s/it]Evaluation:  44%|████▍     | 11/25 [00:27<00:32,  2.34s/it]Evaluation:  48%|████▊     | 12/25 [00:29<00:27,  2.15s/it]Evaluation:  52%|█████▏    | 13/25 [00:31<00:28,  2.34s/it]Evaluation:  56%|█████▌    | 14/25 [00:35<00:28,  2.62s/it]Evaluation:  60%|██████    | 15/25 [00:36<00:23,  2.36s/it]Evaluation:  64%|██████▍   | 16/25 [00:40<00:24,  2.70s/it]Evaluation:  68%|██████▊   | 17/25 [00:43<00:22,  2.87s/it]Evaluation:  72%|███████▏  | 18/25 [00:45<00:17,  2.54s/it]Evaluation:  76%|███████▌  | 19/25 [00:48<00:16,  2.76s/it]Evaluation:  80%|████████  | 20/25 [00:50<00:12,  2.41s/it]Evaluation:  84%|████████▍ | 21/25 [00:52<00:09,  2.42s/it]Evaluation:  88%|████████▊ | 22/25 [00:55<00:07,  2.47s/it]Evaluation:  92%|█████████▏| 23/25 [00:58<00:05,  2.57s/it]Evaluation:  96%|█████████▌| 24/25 [01:01<00:02,  2.77s/it]Evaluation: 100%|██████████| 25/25 [01:04<00:00,  2.94s/it]Evaluation: 100%|██████████| 25/25 [01:04<00:00,  2.59s/it]
2025-08-24 07:25:06 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:25:06 INFO: - n_context: 5
2025-08-24 07:25:06 INFO: - context_type: documents
2025-08-24 07:25:06 INFO: - {'exact_match': 0.41, 'f1': 0.4614908424908425, 'precision': 0.48490909090909085, 'recall': 0.462, 'avg_num_tokens': 406.96}
2025-08-24 07:25:06 INFO: - ================================================================
1858 	 ['April 1858']
JFK 	 ['Stockholm Arlanda Airport', 'Arlanda Airport', 'ARN']
None of the provided contexts mention peace talks in Geneva with a country that approved the name of the planet featuring the Small Dark Spot 	 ['Chinese']
According to the context, the Mississippi River begins in Lake Itasca in northern Minnesota. According to the first context, Minnesota's 	 ['1.7 million']
Hotel and restaurant. 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
1898 	 ['August 12, 1898']
China 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
North Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
Not mentioned in the given contexts. 	 ['Visva-Bharati University']
The question is actually about Operation Perch, which was a British offensive during World War II, not the Eritrean 	 ['1773']
Timur 	 ['Kurdish people']
St. John's. 	 ['eastern tip']
Asia 	 ['Central Asia']
Royal College Colombo. 	 ['Syracuse University', 'Cuse', 'SU']
Italian High Renaissance master 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
Not mentioned in the provided context. 	 ['1960']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
The European Union. 	 ["Europe's most innovative country", 'Europe']
There is no mention of Alanders rejoining the country in the given contexts. 	 ['December 1917']
1909 	 ['1895']
Australia. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
23:00 	 ['24 hours a day']
Rhode Island. 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from the state where Keedy House is located, which is Maryland. 	 ['Charles Carroll']
Monte Porzio Catone. 	 ['Castel Gandolfo']
Thomas Stone 	 ['Charles Carroll']
Widower. 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
The Voyager 1 and Voyager 2 spacecraft used the gravitational pull of Jupiter. 	 ['Voyager probes']
1876 	 ['5th–6th centuries', '6th century', '6th-century']
Julius Caesar 	 ['March 44 BC']
Not mentioned in the provided context. The context only talks about the BBC Television Service, which used two 	 ['six months']
Renault 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
The members of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
A month-long affair. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Hemel Hempstead. 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale 	 ['165,521']
Arun Jaitley 	 ['Sudhir Mungantiwar']
Mattel. 	 ['Elliot Handler']
Bill Clinton 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Jiankang 	 ['Qiantang']
