2025-08-24 03:11:12 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:11:12 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w08.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.23s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.29s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.31s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.15it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.02s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:04,  2.68s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:54,  2.36s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:56,  2.56s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:48,  2.29s/it]Evaluation:  20%|██        | 5/25 [00:11<00:40,  2.04s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:40,  2.13s/it]Evaluation:  28%|██▊       | 7/25 [00:14<00:34,  1.89s/it]Evaluation:  32%|███▏      | 8/25 [00:17<00:36,  2.17s/it]Evaluation:  36%|███▌      | 9/25 [00:19<00:32,  2.03s/it]Evaluation:  40%|████      | 10/25 [00:23<00:40,  2.71s/it]Evaluation:  44%|████▍     | 11/25 [00:25<00:36,  2.62s/it]Evaluation:  48%|████▊     | 12/25 [00:29<00:39,  3.01s/it]Evaluation:  52%|█████▏    | 13/25 [00:31<00:31,  2.65s/it]Evaluation:  56%|█████▌    | 14/25 [00:32<00:23,  2.16s/it]Evaluation:  60%|██████    | 15/25 [00:35<00:23,  2.34s/it]Evaluation:  64%|██████▍   | 16/25 [00:37<00:20,  2.31s/it]Evaluation:  68%|██████▊   | 17/25 [00:40<00:19,  2.44s/it]Evaluation:  72%|███████▏  | 18/25 [00:41<00:14,  2.05s/it]Evaluation:  76%|███████▌  | 19/25 [00:43<00:12,  2.06s/it]Evaluation:  80%|████████  | 20/25 [00:48<00:15,  3.02s/it]Evaluation:  84%|████████▍ | 21/25 [00:53<00:13,  3.34s/it]Evaluation:  88%|████████▊ | 22/25 [00:55<00:09,  3.06s/it]Evaluation:  92%|█████████▏| 23/25 [01:00<00:07,  3.64s/it]Evaluation:  96%|█████████▌| 24/25 [01:03<00:03,  3.37s/it]Evaluation: 100%|██████████| 25/25 [01:06<00:00,  3.30s/it]Evaluation: 100%|██████████| 25/25 [01:06<00:00,  2.65s/it]
2025-08-24 03:12:31 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:12:31 INFO: - n_context: 5
2025-08-24 03:12:31 INFO: - context_type: documents
2025-08-24 03:12:31 INFO: - {'exact_match': 0.7, 'f1': 0.7508450046685341, 'precision': 0.7410882352941175, 'recall': 0.7833333333333333, 'avg_num_tokens': 385.33}
2025-08-24 03:12:31 INFO: - ================================================================
Yes. 	 ['no']
April 10, 1943 	 ['12 April 1942']
A heart attack. 	 ['hanging']
Innale (1990) 	 ['Innale']
15 June 1416 	 ['8 April 1364']
Yes. 	 ['no']
No. 	 ['yes']
Eindhoven 	 ['Dutch']
Chennai 	 ['Karaikudi']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
Britain 	 ['American']
Worthing, Sussex. 	 ['Worthing']
United States 	 ['American']
Half Past Dead (2002) 	 ['Half Past Dead']
19 April 2004 	 ['Melbourne']
The Cuban Love Song (1931) 	 ['The Cuban Love Song']
February 29, 1976 	 ['March 11, 1975']
Yes. 	 ['no']
A Gentleman of France (1921) 	 ['A Gentleman Of France']
Yes. 	 ['no']
Indian 	 ['India']
John Travolta 	 ['Anne Brooksbank']
Peter Diversi died later, at the age of 85, while Gustavo Couttolenc died at the age of 	 ['Peter Diversi']
No. 	 ['yes']
Los Angeles. 	 ['Auckland']
He was shot and killed in the archway of his Manhattan apartment building three weeks after the album's release. 	 ['shot']
Yes. 	 ['no']
Yes. 	 ['no']
No 	 ['yes']
American 	 ['America']
