2025-08-24 07:25:08 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:25:08 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w07.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.16s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.25s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.23s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.21it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.03it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:19,  3.32s/it]Evaluation:   8%|▊         | 2/25 [00:06<01:12,  3.15s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:51,  2.33s/it]Evaluation:  16%|█▌        | 4/25 [00:10<00:49,  2.36s/it]Evaluation:  20%|██        | 5/25 [00:11<00:40,  2.05s/it]Evaluation:  24%|██▍       | 6/25 [00:14<00:43,  2.30s/it]Evaluation:  28%|██▊       | 7/25 [00:17<00:47,  2.64s/it]Evaluation:  32%|███▏      | 8/25 [00:20<00:45,  2.69s/it]Evaluation:  36%|███▌      | 9/25 [00:22<00:38,  2.42s/it]Evaluation:  40%|████      | 10/25 [00:24<00:37,  2.48s/it]Evaluation:  44%|████▍     | 11/25 [00:26<00:29,  2.11s/it]Evaluation:  48%|████▊     | 12/25 [00:28<00:29,  2.28s/it]Evaluation:  52%|█████▏    | 13/25 [00:31<00:29,  2.43s/it]Evaluation:  56%|█████▌    | 14/25 [00:34<00:27,  2.52s/it]Evaluation:  60%|██████    | 15/25 [00:36<00:22,  2.29s/it]Evaluation:  64%|██████▍   | 16/25 [00:39<00:22,  2.55s/it]Evaluation:  68%|██████▊   | 17/25 [00:41<00:19,  2.38s/it]Evaluation:  72%|███████▏  | 18/25 [00:43<00:15,  2.19s/it]Evaluation:  76%|███████▌  | 19/25 [00:46<00:15,  2.52s/it]Evaluation:  80%|████████  | 20/25 [00:47<00:11,  2.24s/it]Evaluation:  84%|████████▍ | 21/25 [00:50<00:09,  2.38s/it]Evaluation:  88%|████████▊ | 22/25 [00:52<00:06,  2.33s/it]Evaluation:  92%|█████████▏| 23/25 [00:55<00:05,  2.51s/it]Evaluation:  96%|█████████▌| 24/25 [00:59<00:02,  2.73s/it]Evaluation: 100%|██████████| 25/25 [01:03<00:00,  3.19s/it]Evaluation: 100%|██████████| 25/25 [01:03<00:00,  2.53s/it]
2025-08-24 07:26:24 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:26:24 INFO: - n_context: 5
2025-08-24 07:26:24 INFO: - context_type: documents
2025-08-24 07:26:24 INFO: - {'exact_match': 0.42, 'f1': 0.48064235764235763, 'precision': 0.5190757575757575, 'recall': 0.47483333333333333, 'avg_num_tokens': 402.33}
2025-08-24 07:26:24 INFO: - ================================================================
1858 	 ['April 1858']
None of the provided contexts mention peace talks in Geneva with a country that approved the name of the planet featuring the Small Dark Spot 	 ['Chinese']
According to the context, the Mississippi River begins in Lake Itasca in northern Minnesota. According to the first context, Minnesota's 	 ['1.7 million']
Hotel and restaurant. 	 ['hotels', 'Hotel', 'hotel']
Nebraska. 	 ['University of Nebraska']
3 	 ['three']
1898 	 ['August 12, 1898']
Beijing 	 ['Dorgon']
Christians 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
Belarus 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
Not mentioned. 	 ['Visva-Bharati University']
There is no mention of the XXX Corps invading an island in the given context. 	 ['1773']
The Achaemenid Dynasty. 	 ['Kurdish people']
St. John's. 	 ['eastern tip']
Asia 	 ['Central Asia']
Royal College Colombo. 	 ['Syracuse University', 'Cuse', 'SU']
Painter 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
Not mentioned in the provided context. 	 ['1960']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
The European Union. 	 ["Europe's most innovative country", 'Europe']
Alanders did not rejoin the country. 	 ['December 1917']
South Africa 	 ['1895']
The flag of Australia has one star. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
23:00 	 ['24 hours a day']
Rhode Island. 	 ['Rhode Island Department of Transportation', 'RIDOT']
Maryland 	 ['Charles Carroll']
Rome 	 ['Castel Gandolfo']
Maryland 	 ['Charles Carroll']
Widower. 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
The Lewis Range. 	 ['Rocky Mountains']
The Voyager 1 and Voyager 2 spacecraft used the gravitational pull of Jupiter. 	 ['Voyager probes']
5th-6th centuries. 	 ['5th–6th centuries', '6th century', '6th-century']
Julius Caesar. 	 ['March 44 BC']
406 	 ['808']
Renault 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
The members of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
A month-long affair. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Hemel Hempstead. 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale 	 ['165,521']
Mattel. 	 ['Elliot Handler']
President. 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Jiankang 	 ['Qiantang']
