2025-08-24 02:57:59 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 02:57:59 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w01.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.21s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.31s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.32s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.14it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.03s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:05<02:18,  5.76s/it]Evaluation:   8%|▊         | 2/25 [00:13<02:36,  6.81s/it]Evaluation:  12%|█▏        | 3/25 [00:24<03:17,  8.97s/it]Evaluation:  16%|█▌        | 4/25 [00:26<02:11,  6.25s/it]Evaluation:  20%|██        | 5/25 [00:28<01:29,  4.46s/it]Evaluation:  24%|██▍       | 6/25 [00:30<01:11,  3.79s/it]Evaluation:  28%|██▊       | 7/25 [00:32<00:54,  3.01s/it]Evaluation:  32%|███▏      | 8/25 [00:34<00:50,  2.95s/it]Evaluation:  36%|███▌      | 9/25 [00:37<00:46,  2.88s/it]Evaluation:  40%|████      | 10/25 [00:51<01:32,  6.19s/it]Evaluation:  44%|████▍     | 11/25 [00:56<01:22,  5.91s/it]Evaluation:  48%|████▊     | 12/25 [01:05<01:29,  6.89s/it]Evaluation:  52%|█████▏    | 13/25 [01:09<01:10,  5.86s/it]Evaluation:  56%|█████▌    | 14/25 [01:14<01:04,  5.83s/it]Evaluation:  60%|██████    | 15/25 [01:21<00:59,  5.93s/it]Evaluation:  64%|██████▍   | 16/25 [01:26<00:53,  5.92s/it]Evaluation:  68%|██████▊   | 17/25 [01:31<00:43,  5.40s/it]Evaluation:  72%|███████▏  | 18/25 [01:32<00:29,  4.26s/it]Evaluation:  76%|███████▌  | 19/25 [01:34<00:21,  3.58s/it]Evaluation:  80%|████████  | 20/25 [01:41<00:22,  4.44s/it]Evaluation:  84%|████████▍ | 21/25 [01:44<00:16,  4.05s/it]Evaluation:  88%|████████▊ | 22/25 [01:49<00:13,  4.39s/it]Evaluation:  92%|█████████▏| 23/25 [02:00<00:12,  6.41s/it]Evaluation:  96%|█████████▌| 24/25 [02:06<00:06,  6.29s/it]Evaluation: 100%|██████████| 25/25 [02:13<00:00,  6.40s/it]Evaluation: 100%|██████████| 25/25 [02:13<00:00,  5.33s/it]
2025-08-24 03:00:26 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:00:26 INFO: - n_context: 5
2025-08-24 03:00:26 INFO: - context_type: documents
2025-08-24 03:00:26 INFO: - {'exact_match': 0.67, 'f1': 0.7387301587301587, 'precision': 0.7376878023936848, 'recall': 0.7816666666666666, 'avg_num_tokens': 426.61}
2025-08-24 03:00:26 INFO: - ================================================================
Yes. 	 ['no']
Yes. 	 ['no']
execution by hanging on 30 December 2006. 	 ['hanging']
P. Padmarajan, the director of Innale, died earlier, on 24 January 1991. 	 ['Innale']
1364 	 ['8 April 1364']
Yes. 	 ['no']
Yes. 	 ['no']
Sacha Guitry 	 ['Lucien Guitry']
No. 	 ['yes']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
British 	 ['American']
Worthing, Sussex. 	 ['Worthing']
Half Past Dead (2002) 	 ['Half Past Dead']
19 April 2004 	 ['Melbourne']
Umberto Louzer. 	 ['Salvatore Lanna']
The Cuban Love Song (1931) 	 ['The Cuban Love Song']
Sweden 	 ['Eisenach']
A Gentleman of France (1921) 	 ['A Gentleman Of France']
Indian 	 ['India']
No. 	 ['yes']
Peter Diversi died on 22 January 2018, while Gustavo Couttolenc died on 7 February  	 ['Peter Diversi']
1680 	 ['1 November 1680']
Chinese 	 ['no']
Not mentioned. 	 ['Auckland']
He was shot and killed in the archway of his Manhattan apartment building three weeks after the album's release. 	 ['shot']
Yes. 	 ['no']
Ben-Hur (1959) 	 ['The Heiress']
Lilian Harvey 	 ['Edith Posca']
Beauty And The Rogue (1918) 	 ['Beauty And The Rogue']
Yes. 	 ['no']
No 	 ['yes']
American 	 ['America']
