2025-08-24 02:58:38 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 02:58:38 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w04.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.15s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.25s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.24s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.21it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.03it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:06,  2.78s/it]Evaluation:   8%|▊         | 2/25 [00:05<00:59,  2.61s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:48,  2.22s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:41,  1.99s/it]Evaluation:  20%|██        | 5/25 [00:10<00:38,  1.90s/it]Evaluation:  24%|██▍       | 6/25 [00:12<00:37,  2.00s/it]Evaluation:  28%|██▊       | 7/25 [00:14<00:35,  1.98s/it]Evaluation:  32%|███▏      | 8/25 [00:16<00:33,  1.97s/it]Evaluation:  36%|███▌      | 9/25 [00:18<00:31,  1.96s/it]Evaluation:  40%|████      | 10/25 [00:20<00:32,  2.13s/it]Evaluation:  44%|████▍     | 11/25 [00:22<00:29,  2.10s/it]Evaluation:  48%|████▊     | 12/25 [00:25<00:27,  2.15s/it]Evaluation:  52%|█████▏    | 13/25 [00:26<00:24,  2.01s/it]Evaluation:  56%|█████▌    | 14/25 [00:28<00:21,  1.98s/it]Evaluation:  60%|██████    | 15/25 [00:30<00:18,  1.87s/it]Evaluation:  64%|██████▍   | 16/25 [00:32<00:16,  1.82s/it]Evaluation:  68%|██████▊   | 17/25 [00:34<00:14,  1.87s/it]Evaluation:  72%|███████▏  | 18/25 [00:35<00:12,  1.78s/it]Evaluation:  76%|███████▌  | 19/25 [00:37<00:10,  1.79s/it]Evaluation:  80%|████████  | 20/25 [00:39<00:09,  1.94s/it]Evaluation:  84%|████████▍ | 21/25 [00:42<00:08,  2.07s/it]Evaluation:  88%|████████▊ | 22/25 [00:43<00:05,  1.91s/it]Evaluation:  92%|█████████▏| 23/25 [00:45<00:03,  1.89s/it]Evaluation:  96%|█████████▌| 24/25 [00:47<00:01,  1.86s/it]Evaluation: 100%|██████████| 25/25 [00:49<00:00,  1.80s/it]Evaluation: 100%|██████████| 25/25 [00:49<00:00,  1.96s/it]
2025-08-24 02:59:41 INFO: - ====================== Evaluation Results ======================
2025-08-24 02:59:41 INFO: - n_context: 5
2025-08-24 02:59:41 INFO: - context_type: triples
2025-08-24 02:59:41 INFO: - {'exact_match': 0.73, 'f1': 0.765, 'precision': 0.7583333333333333, 'recall': 0.78, 'avg_num_tokens': 120.39}
2025-08-24 02:59:41 INFO: - ================================================================
Yes. 	 ['no']
Execution 	 ['hanging']
Sacha Guitry 	 ['Lucien Guitry']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
1950 	 ['4 December 1922']
British-born American 	 ['American']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
19 April 2004 	 ['Melbourne']
Tell Me I'm Dreaming 	 ['An Odyssey Of The North']
Mary Panton 	 ['Thomas Panton']
Maya Bazaar (1995 film) 	 ['3688']
Eisenach, Germany 	 ['Eisenach']
Yes 	 ['no']
Indian 	 ['India']
Matosinhos 	 ['Lisbon']
Heather D. Gibson 	 ['Anne Brooksbank']
No 	 ['yes']
Yes 	 ['no']
United States 	 ['American']
Chinese 	 ['no']
November 5, 1970 	 ['Auckland']
8 December 1980 	 ['shot']
1918 	 ['Beauty And The Rogue']
No 	 ['yes']
American 	 ['America']
